"c1","c2","text"
"102415827","3/10/2018 ","Gun Control is the problem!"
"1074588680","3/10/2018 ","Justice Department moves to outlaw  making them  to  or ;"
"1083596054","3/10/2018 ","I never owned a gun until  and his traitorous administration tried to usurp the Constitution. I now own 5, loaded and positioned to protect what I worked for. I'm CC permitted and practice TRUE  I HIT WHAT I AIM AT!"
"110884214","3/10/2018 ","I am getting tired of the blame getting shifted to TV,Movies or Video games when they should be working on keeping GUNS out of the hands of people who dont need to have one"
"1111809331","3/10/2018 ","Hello, my name is Senator. Patrick J. Toomey. I'm currently a Republican Member of the US Senate from Pennsylvania. I want you to know it only cost the NRA $39,363 to make sure I stay silent and watch as our children are murdered.    _Stooge"
"1125469969","3/10/2018 ","So glad that Parkland students' activism has re-engaged survivors of Pulse shooting. The more survivor voices in fight against gun violence the better-and the more diverse voices the better. Also helps make gun control an LGBT issue-which it should be."
"114615535","3/10/2018 ","FACT: opiate overdoses killed six times as many people than people with guns in 2016. MVAs killed three times as many. AR platform rifles accounted for less than 1% of all gun deaths (including suicides and accidental deaths). Wake up.   "", ""FACT: the system is not perfect. If you keep trying to pile more laws on top of a cracked foundation, they??ll only end in disaster. We need something solid.   "", ""I??m not even a member of the NRA, but I am astonished by the number of people willing to paint them as a ??terrorist organization??. On what basis? They defend 2A rights? You must be joking.   "", 
""It is easy to boil this debate down to guns. It??s a sort of twisted comfort; it forgives the need to look at ourselves and ask how we??ve all helped society reach this point and what must be done to turn it around.   "", ""FACT: it is beyond horrific that anyone would want to kill children, regardless of the tool used. Set the gun issue aside and consider the desire to kill kids; it is both chilling and disturbing.   "", ""FACT: the deadliest school shooting us US history wasn??t committed with a rifle. Two pistols were used, one of them a .22-caliber.   "", 
""FACT: Many recent mass shooters have cited Columbine as their inspiration. Nobody wants to think that sensationalizing these things is contributing to their perpetuation, but...   "", ""FACT: the system worked at Columbine. They were not able to legally buy guns - so they bought them ILLEGALLY. The man who sold them their guns went to prison for what he did.   "", ""FACT: Columbine happened five years into the Clinton ??assault weapons?? ban and that ban did nothing to stop two killers bent on attacking their school.   ""
)"
"11471902","3/10/2018 ","Vote! At every election. School board members in  can now arm teachers"
"114926605","3/10/2018 ","          &Fight     "", ""          &Fight        "", 
""          &Fight    "", ""          &Fight    "", ""          &Fight     "", 
""          &Fight      "", ""          &Fight    "")"
"117223393","3/10/2018 ","So Australia is now the model for  and  ...uhm ...the same country founded and colonized by prison convicts in 1788 shipped from Great Britain is now giving lessons to a country founded by free men? And you wonder why  can??t work here?"
"117265333","3/10/2018 "," cont' - Well, that's about I've to say on the subject, aside from the fact that I'd like to remind you, criminals don't buy their weapons in shops like average people do. Average people don't buy their weapons from street market either. Criminals use street market."", "" cont' - As you can see, when you talk about Gun Control, you are merely talking BS. You are literally asking gov to take away your rights and ability to protect yourself. You're also helping gov strip people of their rights. You working against yourself?"", 
"" cont' - By the way, when you have ask gov to get involved in anything? If you expect good things to happen? Then you're a fool or idiot. I'll leave the choice up to you. Nothing gov does is for the benefit of the people. Military argument?(See photo-he's right)"", "" cont' - There's no rationale or rational argument to disarm people. If someone shoots up a school, blame the PERSON, not object used. Find out WHY they did it? Then move forward. But, do not advocate for stripping someone of their rights because of an inanimate object"", 
"" cont' - Again, I don't care why or what reason you have for being against guns. The fact is, public is being played. Media is blaming an inanimate object, to draw support for disarming good people. It cannot be permitted. Hence this post."", "" cont' - Again for those who speak while living outside America's borders. Yes, it is fine for you to have your opinion. But, do try not to make a fool out of yourself. Other than a master in self-defense, a gun is an excellent choice for self protection.."", 
"" cont' - For those who talk about what other countries have done about guns. I'm extremely happy for those countries. However, dig in their laws? And you'll likely uncover tyranny taking place, hidden behind a cloak. I'm an   Advocate & Activist"", "" cont' - Those who attack the wording \""militia\"" in the Constitution. The \""militia\"" is the civilians who reserve the RIGHT TO DO SO, under the Constitution, and DO carry. They are a civilian army. Any and all are obligated to Constitution & its said Protections."", 
"" cont' - Having an armed citizenry, keeps crime down. Those who commit crimes, do so when opportunity arises. They LOOK around their immediate area, as to who might be a threat, to prevent them from committing their crime. Armed people, make them think twice. Be aware."", "" cont' - Having only criminals and gov agents with guns, it leads to only one place- . And, trust me- you do not want to live in a country under Tyranny. It is bad enough there are so many laws on the books, that you do not have to leave our home to be guilty."", 
"" cont' - Disarming an entire citizenry, leave only criminals & gov to have weapons. Thus, leaving people dependent upon other people to protect them, like Police? However, the  are not protection for people.(see photo- they uphold & enforce laws only)"", "" cont' - Those who want to disarm people because they seem to think it will make it better for society? The fact that many don't realize what  is in truth, their ignorance and fear, gets the best of them. Latin translation-  = Control &  = of The Mind."", 
"" cont'- Those who are many claims for \""end gun violence\""? Do realize- you are being played. There is no level of security, with which gov can provide, to make you completely safe. NONE! You can walk out your door & get hit by a cyclist, fall & hit head. Die before help"", "" cont'- For those who want to make school shootings stop? You're asking for a physical impossibility. It is human nature, for a possibility of any singular individual to go haywire, at any given moment in time. No adequate security is enough, unless at individual level"", 
""? Let's talk about it for a second. Photo 1- if your view matches former moreso than latter. You're disgusting. Plain & simple. Photo 2- if you choose any singular item, then you're an idiot. She should have all 3 on her, at all times. Her life depends on it. Get it?"")"
"1185998198","3/10/2018 ","    are all  for   is  not    is     "", ""    are all  for   is  not "")"
"119771879","3/10/2018 ","commits a felony in the name of"
"119995231","3/10/2018 ","Good job !!!"
"120316738","3/10/2018 ","Got an idea! Let's make Murder illegal then people wouldn't be able to commit Murder cause it's ill......oh wait."
"1206091106","3/10/2018 ",". SCHOOL $SHOOTING LATEST: Fellow student held in death of 17-year-old Huffman High School senior ."
"12244762","3/10/2018 ","The only policy where  diverges from the  is on   is a true  because he despises minorities, immigrants, healthcare, women, environmental regulation, and is pro guns and defense spending. He's"
"127391601","3/10/2018 ","Very interesting article re: ."
"1279219274","3/10/2018 ","Then maybe you should do what you said you would.  Another automatic weapon in the hands of someone who was unstable.  This is on you!"
"130662357","3/10/2018 ","How much more?  guns everywhere and this is what happens no  and this is what happens&gt;&gt;&gt; California, officer dead as standoff with suspect continues"
"13352392","3/10/2018 ","   He was willing to support minor  now but not 2 years ago after the  massacre. It's a reminder of what homophobic cretins Scott & the Florida legislature are. What if Florida had acted after gay pe"", ""  The fact that he was willing to support minor  this year but not 2 years ago after the  massacre is a reminder what homophobic cretins Scott & the Florida legislature are."")"
"1340310878","3/10/2018 ","The ?? argument that   measures infringe on the 14th amendment's equal protection clause by banning law-abiding citizens between 18-21 from buying guns has got to be one of the most preposterous ones ever."
"1379645311","3/10/2018 ","4/ the politics of the day."
"1394743334","3/10/2018 ","US vs World"
"140257599","3/10/2018 ","From  policy debate to  funding. From  to . How  has moved the  into the realm of mainstream public dialog -"
"14112406","3/10/2018 ","That said, don't rest on laurels. The NRA was pushing for this to be done via executive order so it could be easily undone later. Be wary. Be strategic."
"1412064840","3/10/2018 ","Hitler Survivor Condemns Gun Control ""KEEP YOUR GUNS, BUY MORE GUNS"" Katie Worthman"
"141994504","3/10/2018 ","The  are such a bunch of arseholes!!    Florida shooting: NRA sues as Florida enacts gun-control law -"
"1450133682","3/10/2018 ","_kasky Keep tweeting and talking. You and your friends are going to take the worst thing that ever happened to you and make great change in this country. More are proud of you than you know"
"145426326","3/10/2018 ","I don??t fuck with  till it becomes about all the men women and children suffering from rape, racism, murder and war crimes everywhere. I don??t fuck with  till it becomes about illegalization of guns and international arms distribution"
"1455431","3/10/2018 ","Thank you  for sharing your inspiring story at  - you inspired so many on the topics of   and"
"14720577","3/10/2018 ","Watching  on  talking about  We MUST have more PA electeds pledging to accept  - where are you?"
"147634420","3/10/2018 ","You didn't ask for this  but    we don't need semi-automatic, easily convertible to automatic, weaponry on the market. Lessen the effort to defend The Beatles - Revolutionvia"
"14862668","3/10/2018 ","UNREAL. As long as the  issue is WRONGLY FRAMED as Anti-gun vs. Pro-gun rather than Sensible/Responsible vs. Anything Is Permissible, the NRA will cow politicians into disgusting inaction."
"14957318","3/10/2018 ","Chicago-area students plan to participate in  walkout next week"
"15151163","3/10/2018 ","Correction:  began as a mean to keep the  helpless. Nothing good ever followed the ones who wish you disarmed."
"15379745","3/10/2018 ","Would the left blame the gun of Trump was assisinated? Answer: Hell to the NO!"
"154486524","3/10/2018 ","Is it time now to talk about  ?"
"154977758","3/10/2018 ","Couldn't have said it better myself"
"1561978184","3/10/2018 ","I was unlawfully blocked by my reps (Travis Hutson & Cyndi Stevenson) because of my opinions on . This needs to stop.  filed suit about a week ago."
"15736424","3/10/2018 "," This:  is nonsense  is tyranny"", ""You cannot have the Right to Life, Liberty, & Pursuit of happiness, without the Right to defend them with the Right to keep and bear arms.  is nonsense  is tyranny"")"
"158023332","3/10/2018 ","The constitution says ??WELL REGULATED?? !!!!!!"
"1592293723","3/10/2018 ","Bullies become nothing when they are called out to stand alone. So don't resign. Whine. placate. Step away. Be courageous. Make the Bully stand out and responsible for his actions."
"1592448187","3/10/2018 ","Oh this is just brilliant!"
"1606029594","3/10/2018 ","With all these people destroying  now I want to destroy something. So I decided I'm going to destroy the leftest wingnut,    agenda. Who's with me?"
"16139945","3/10/2018 ","Adults make the laws, children are just expected to die for them."
"16155881","3/10/2018 ","Morning Consult Poll: Consumers Inflict Major PR Damage on corporations who cut ties with the"
"16177626","3/10/2018 ","Yep. This is TRUE diplomacy. Not a shot was fired. ."
"16189745","3/10/2018 ","_     !"
"1623227862","3/10/2018 ","There??s a reason why there??s a age limit of 18... now there??s reasons why 21 should be the age limit."
"16290017","3/10/2018 ",". director Daniel Flannery joins  discussion on : ??The more guns that are available to people, the more likely they are to be used.??"
"163267200","3/10/2018 ","supporting the game changers! Thank you!!"
"166367211","3/10/2018 ","Can we stop focusing on the president's lack of morals? We know about it. GOP doesn't care, won't pursue any legal action even if the payoff is clear crime. Focus on"
"1668109656","3/10/2018 ","A BOOMERS ??extra?? (c) stevenn beck, here??s \""SUPER STAR?? * PLS LIKE +SHARE AND FOLLOW ON FB, INSTAGRAM + TWITTER!             "", ""BOOMERS??about the generation that was gong to \""change the world\"" - and INSTEAD gave us DONALD TRUMP! CHECK OUT BOOMERS and PLS \""SPREAD THE WORD!\""           "", 
""A BOOMERS ??extra?? (c) stevenn beck, here??s \""SOMETHING STUPID?? * PLS LIKE +SHARE AND FOLLOW ON FB, INSTAGRAM + TWITTER!             "", ""A BOOMERS extra (c)stevenn beck, here??s \""MY GENERATION?? * PLS LIKE +SHARE AND FOLLOW ON FB, INSTAGRAM + TWITTER!             "", 
""A BOOMERS extra (c)stevenn beck, here??s \""SOMETHING STUPID?? * PLS LIKE +SHARE AND FOLLOW ON FB, INSTAGRAM + TWITTER!             "", ""BOOMERS??about the generation that was gong to \""change the world\"" - and INSTEAD gave us DONALD TRUMP! CHECK OUT BOOMERS and PLS \""SPREAD THE WORD!\""           ""
)"
