c1,c2,text,For Class
278661432,3/10/2018,". Once your next NRA check arrives, you'll forget this ""deep sadness"" for  as quickly as you forgot . Mr. President, how many children & veterans have to die so you can be rich?",y
2821330426,3/10/2018,77% of  support stricter gun laws. We stand with you,y
28707151,3/10/2018,What your bill DOESN??T DO Good start... DO MORE!,y
300956504,3/10/2018,Stirred hornets nest w    comments. Clearly 1) Twitter is terrible place for policy debate; 2) people prefer attack over meaningfun conversation; 3) we'll continue to have more dead bodies until we switch into problem solving mode.,y
3060124229,3/10/2018,What is your  on ? Do you support restrictions on ? Make your voice heard!,y
309963878,3/10/2018,Children without terminal illness should NOT be writing wills or having to think their death could be around the next corner.,y
31173825,3/10/2018,"you're on the right track, but arming teachers is not a good idea. Take that off the bill, add a ban for the AR-15, and you will be a hero.",y
334424918,3/10/2018,Outlawing assault weapons is no more a violation of the  than outlawing child pornography is a violation of the .,y
34315365,3/10/2018,"Could   be Trump's legacy? Too early to get one's hopes up, but this is a step in the right direction.",y
34845681,3/10/2018,_pinkfloyd The remix would include ??we don??t need no guns in class room; Hey teachers leave those guns at home??,y
353276915,3/10/2018,Not enough. But at least some  effort.,y
378004939,3/10/2018,"In  Gay, Black Democrats Ask GOP: Why No  After Violence In Our Communities?",y
38036176,3/10/2018,"   "", ""Join students across the country on March 24 in the  for  and against all of this NRA money in GOP congressmembers?? hands.  Go here and enter your ZIP Code or town to find a march near you:"", ""   "")",y
39334221,3/10/2018,The problem with  Laws is that Criminals & Mentality Evil DON??T CARE ABOUT GUN CONTROL LAWS.,y
39824470,3/10/2018,"??These conversations, every time after one of these shootings happen, are always way too temporary. I am determined; the kids from this school are determined. We are not going to let that happen this time.??",y
4491531140,3/10/2018,"The political calculus is quite simple. Fetus talk costs nothing. Protecting human lives much too costly.       "", ""Don't ban high capacity magazine assault rifles that shred organs. Focus on bump stock.       "", "" Shame that GOP fights for a fetus, but doesn't care about actual living human life       ""
)",y
485107834,3/10/2018,Congratulations to Florida for having a small shred of common sense this week.,y
49352200,3/10/2018,Exactly. These PREVENTABLE tragedies can happy ANYWHERE. Stopping the source is the ONLY answer.,y
50049805,3/10/2018,"A 72 hour grace period after buying a firearm will not prevent ""mass shootings"". These things have been shown time and again that they're planned out. These are seldom spur of the moment actions. Criminals will find a way to commit crimes. They are criminals.",y
53354865,3/10/2018,The lawsuit brought by the  against Florida??s new  law will be defended in court by FL AG . Bondi is former board chair of RAGA and her campaigns have been backed by the group. RAGA??s 2nd highest donor in 2017 was....the NRA.,y
53912059,3/10/2018,Being ??deeply saddened?? is not enough. More slaughter in USA and the prime cause is lack of gun control. Shocking. Doubly shocking because this doesn??t need to happen.,y
610919499,3/10/2018,"When I was in grade school, I often found spent bullet cartridges on the ground around our school. They had to put a huge fence around the school to protect us from guns.    "", ""When I was in grade school, one of my friends was grazed by a bullet when caught in the cross-fire of a drive-by outside our school. Another friend had his apartment shot at in a drive-by. Guns put lives at risk.    "", 
""I was in a building locked down during a shooting, and my mother and I were stalked by a man with a gun when I was in grade school. Believe me, some people should never have guns. They don't make us safe.    "", ""If guns don't kill, why do over 30,000 Americans die every year from gun violence?    "", ""Rather than desensitizing little children to the sounds of gun fire we should be preventing gun violence from ever happening in the first place.    "", 
""So we're trying to habituate and desensitize kids to the sounds of gun fire rather than trying to prevent the gun fire in the first place? This is incredibly wrong.    "", ""I have PTSD. Officers firing gunshots, even for these purposes, would not just scare me, they would trigger my flashbacks.    "")",y
7.07E+17,3/10/2018,Looks like  is really doing a great job of keeping guns out of the hands of the bad guys in England.,y
722799955,3/10/2018,"_Chandel    Just another day in America, I hope some day you people will finally follow us guys in UK and take action on  since Westminster, London passed 2 acts of Firearms amendment in 1997 there hasn't been a",y
7.42E+17,3/10/2018,"Apply for gun insurance thru the medical sector, and require it just like auto insurance. Creates jobs, helps catch the people we are worried about and covers victims and their families just like auto insurance   "", "" I know. I??m pissed how little attention this tragedy had. Especially as a veteran    "")",y
7.45E+17,3/10/2018,Suing because the min age to buy guns rose form 18 to 21? Say  isn't fighting this bcuz of profits for gun sellers/manufacturers. Don't c how raising min age prevents  but I can't c how this is anything other than for greed and corporate bottom lines,y
8.06E+17,3/10/2018,"  shooting  "", ""Tragically more lives lost unnecessarily because  extremists would rather support the  than human life. And these  politicians constantly preach pro-life, but don't give a shit about human life. Controling women + pure greed is what their agenda is. "")",y
8.07E+17,3/10/2018,We are not surprised high school activists are more than ready to take on the NRA. Young people are prepped and ready...,y
80901392,3/10/2018,"Please join GLIDE & our Janice Mirikitani Family, Youth and Childcare Center as we remember the  victims, & all victims of gun violence, in demanding smart, sensible  laws NOW. Proud of our FYCC kids & teachers!",y
