c1,c2,text,For Class
100332944,3/29/2018,. did a GREAT article on just how vile the  agenda goes after  women relentlessly.,
1030777680,3/29/2018,are not the problem,
1080069252,3/29/2018,The new sectional for our bonus room will be purchased from . Dear  .,
110165014,3/29/2018,The Six Stages of Gun Grabbing,
110556913,3/29/2018,The   where  people  what they expect from  .. .,
112481764,3/29/2018,Are these the same children y'all have elevated to the status of  leaders? The media visible puppets of of ? Powered by the Bloomberg machine and money. Don't like the fire of being a public figure? Go back to school. Oh wait. No college wants him...,
117200890,3/29/2018,"Cuz... If I do recall... No gunshot I ever heard sounded like people pounding on lockers or banging on doors...  "", ""I also summon anybody who has a handgun and some typa cement layered building to demonstrate what a gunshot sounds like in closed doors...  "", ""To anybody who owns an assault rifle and a few acres of land... I summon you to shoot your rifle at night in the same distance of the Las Vegas shooting... And videotape it...  ""
)",
1183424425,3/29/2018,"A Vermonter goes ""window shopping"" as the legislature advances a  bill through the  House.",
1247573930,3/29/2018,"Laura Ingraham ""only apologized after we went after her advertisers. It kind of speaks for itself.",
1273566301,3/29/2018,Thank you for gundamentalists it is a great addition to ammosexuals. Does anyone have a thesaurus for gun nut descriptions?,
12896172,3/29/2018,Anti gun activist  rejects Laura  apology after calling for advertiser boycott,
1324778076,3/29/2018,"THIS! We shouldn't have to worry about our partners, husbands, boyfriends, fathers, sons, brothers, uncles, cousins getting unlawfully slaughtered by the officers who vow to PROTECT... makes me sick.",
1440658580,3/29/2018,"Of course 79% of  participants identified as ""left leaning"" but with only 12% reporting they were marching for  why were they there? Free vacation maybe!?",
148867097,3/29/2018,Possible inclusion of  bills A-8976B/S-7133A in state budget deal.,
15282651,3/29/2018,So the important part of the 2ed amendment is well regulated,
154705374,3/29/2018,Of course they do. Doesn't fit the    Outlets Ignore ' Skepticism of,
15736424,3/29/2018,"   Wrong, not my argument at all. Laws that violate Inherent Rights, is tyranny is my point. Such as any and all  laws do.  is nonsense  is tyranny"", ""   It's not a contradiction.  laws do nothing to stop criminals, they only impede and infringe on law abiding People's Rights. Malum prohibitum laws do not stop malum in se crimes. The purpose of laws is to define crimes and punishment for them.  ""
)",
15843059,3/29/2018,Why David Hogg is the MOST DANGEROUS person in America.,
15950681,3/29/2018,"Why do unarmed people of color like  get shot dead by police, while white mass murderers like  always get taken alive?  plays a role in  but  equally in the new  movement.",
161461946,3/29/2018,You hypocritical shit. Your entire   schtick is predicated on fearmongering gun owners & the  . You present no  and blatantly lie on-air. Take your own advice dumbass and you would actually drive progress like,
16155872,3/29/2018,I'd like to thank the fine leftist of    and fools like   for doing more to motivate conservatives than conservatives.,
1674463267,3/29/2018,Our partners at  have compiled info on the $$$$$ behind  vs,
1689580692,3/29/2018,"Guns don't kill people, bullets do. I say we keep the guns but ban the bullets.",
179724333,3/29/2018,Unbelievable,
18398582,3/29/2018,Advertisers pull ads from Fox's Ingraham after her jab at Parkland student -,
194379465,3/29/2018,"I just missed the lead  sign. In NYC, learning to protest starts early. Women's Month protest, I think.",
20883103,3/29/2018,Since we are going to focus on facts let's educate you on the actual history of,
21159425,3/29/2018,"Hogg Hitler - The New American NAZI Movement Real agenda of  not so much . Can we get a  push going on? To keep 2nd Amendment,is to keep your freedoms. 3/29/18",
213863991,3/29/2018,"So far, the best set of arguments that I have yet encountered regarding the INeffectiveness of strict  as proposed by the liberal media. That being said, this...",
217702746,3/29/2018,David Hogg and the Cuban wannabe Emma Gonzalez will end up in a van down by the river.. Laura Ingraham was just looking out for the kids future.,
21835071,3/29/2018,"Oh you poor liberal: You think I'm angry with Hogg for wanting meaningful ? No. You don't stop rape by demanding all men amputate their penises, that's not how it works.",
2207867665,3/29/2018,The leftists at Merriam-Webster just changed the meaning of the word assault rifle to help push the gun-control agenda.,
2207952878,3/29/2018,Emotional  is just smoke and mirrors,
221969524,3/29/2018,"My favorite page in this week's .   "", ""My favorite page in this week's .   "")",
22850816,3/29/2018,"I remember when TV hosts had positions of earned privilege to illuminate issues, then there's compassion-lite  who used her pulpit to   a  advocating .",
23153001,3/29/2018,".    i have purposed that in order that this  panel ACTUALLY accomplish something, that  people be barred from using their org talking points, just as  members be barred from their orgs talking pts",
2323111957,3/29/2018,"MEMO to:  Subj:  If CONSERVATIVES had done what  (a teenager being royally used by  Advocates & his Ex  Dad) is doing to an ""Opinion""  Show like  you would've suspended HOGG in a heartbeat.",
2335542810,3/29/2018,"The media continues to talk about  And . I GUESS THIS ISN'T NEWS!!!!  Week After China Vows &;Bloody Battle,&; Massive Fleet Appears in South China Sea",
2500587222,3/29/2018,Refused To debate W/Pro gun 'Survivor'  ..It Doesn't fit The  Narrative That Other Don't Agree With Their Attempted  Agenda (Democrats Have Always Used Their  to Make It Look Like They Are The Majority),
269441846,3/29/2018,Hmmm.  Is that fear I smell? And from fear mongers too... hmm. Delightful.,
2733825747,3/29/2018,"David, as a single mom that suffers from sevwral forms of mental illness, i fully support you on this. I do like guns and shooting ranges but that is as far as i chose to go with guns. Not for fear of hurting others though but my own self",
2780550287,3/29/2018,"What happened: unprecedented volume of  rhetoric after  caused spike in  membership and donations. What  advocates see:  profiting off of dead kids and \""fear mongering\"" (simply highlighting what the anti gun crowd is in fact doing)"", "" advocate who should take his own advice. The meaning of \""AR\"" in  does not stand for \""assault rifle.\"" It's not even debatable. It does and always has stood for ArmaLite Rifle.  stupidity at it's finest""
)",
27943005,3/29/2018,What he said. Now about that ....,
280215147,3/29/2018,"4 those not on FB, here's the profile frame I made for  Use, share",
2871062145,3/29/2018,Why David Hogg is the MOST DANGEROUS person in America.,
2883653149,3/29/2018,"Actually,  are expelling 60 US spies from St Petersburg listening post, not diplomats or consulate...",
2888339344,3/29/2018,A VOICE OF REASON - Gov. Bevin Responds to Alleged Hypocrisy,
30313304,3/29/2018,"First it was  now it's . Hit these people in their pocket books, because a loss of  is the only thing they'll understand.",
3048203801,3/29/2018,He was against assault weapons EXACTLY like the students you mock and bully.,
30555601,3/29/2018,Don't be a dope.,
30914171,3/29/2018,Very respectable thing  has done. For a 60 year old woman like  to go after a child is pure gross. He survived  and is out here marching for  so kids can stop getting gun down in schools. And she feels the need to insult,
314243234,3/29/2018,"If you don't think talks of  are about complete control, think again",
31464977,3/29/2018,"Yesterday, we shared our views on   and the . Today, we will bring you our thoughts on  inspired by  recent  video on where her tax money goes.",
3200005127,3/29/2018,Missouri! Support this man! Defend your  from the   crowd!,
322609246,3/29/2018,"             "", ""             "")",
3272253734,3/29/2018,"Haha  someone was mean to him and he can't handle it like an adult. If you put yourself in front of every camera you can find, expect to get criticism and be slammed in more ways than one.     "", ""    "")",
32783075,3/29/2018,lmao so she's telling us her guards are using either bolt-action rifles or literal muskets. sounds legit,
3284538342,3/29/2018,You guys are letting one bullying claim get in the way of the  matter at hand,
3332796557,3/29/2018,"Among the hundreds of solutions to the school shooting problem in America, I have one that will actually work: everyone needs to stop having children. Can't shoot kids if they don't exist.",
34013455,3/29/2018,ask yourself who will benefit from the civil war they are trying to start.,
37019769,3/29/2018,Marching for the Democrats: Another Farce on Washington,
378196015,3/29/2018,A student-led rally supporting  legislation was held in  Saturday as millions rallied throughout the country with a goal of limiting gun access and certain weapons that have been used in recent killings at schools and public places.,
385791805,3/29/2018,_  Stupidest tweet of the day contender. Look at a map. Weak IN & WI gun laws provide a pipeline to Chicago.,
3957234993,3/29/2018,"did you see these gun control stats in Chicago? Pretty impressive, huh?",
4020357677,3/29/2018,I'm with you.,
417461864,3/29/2018,I have your back and please remember some of us old farts are on your side!,
42410634,3/29/2018," Alex Jones son challenged him to a  debate I think its fine idea"", "" ALEX JONES! REX JONES! DAVID HOGG DEBATE! Political Cartoon   I drew a             "")",
440513123,3/29/2018,Read 's and my analysis on the regulatory process & why it will take time before there is a rule banning bump stocks:,
442296361,3/29/2018,". Rep Hudson repealed mental health checks & is fighting 4 concealed carry in EVERY state. No mention of ! Time to say  VOTE, VOLUNTEER, DONATE",
447957260,3/29/2018,Don't you know that you obviously don't count bc you are a conservative and don't agree w,
47849447,3/29/2018,"Rex Jones To David Hogg: Name The Time And Place, Let's Debate",
51996514,3/29/2018,I'm DYING,
53569575,3/29/2018,I got back on Twitter so I can retweet  and Parkland activists clapbacks,
540745898,3/29/2018,"I'm done talking about David  his sister, & ""Cuban Revolutionary"" Che Gonzalez. They don't care about . They're hired mercenaries 4  advocates like Michael Bloomberg/George Soros. Enough.   (Laura Ingraham)",
55059357,3/29/2018,"Robert Schentrup, the brother of one of the  victims, was among the speakers at the  at the University of North Carolina Chapel Hill on March 29, calling for . -",
562437801,3/29/2018,should listen to the  Pretty sure they did . . .  makes sense & will,
562938526,3/29/2018,Ask these guys about,
58197316,3/29/2018,"Now this is a young man who shows the world that u don't need to hate on others 2 get your point across. U can defend ur rights without being a dick, Mr Hogg. Please  take a lesson from this young man , grieve... then grow up! We all had 2 at some point! "", "" Some real hateful people on here mike! Whether u agree with gun control or not I don't think there is any need 4 such negativity! It's a shame some can't just have a healthy debate. It's those people spewing hate which has turned Twitter in2 a bullying mine field! ""
)",
583324789,3/29/2018,. STEP UP TO THE PLATE HULU.     Stand behind      needs to drop advertising on hate- and lie-spewing  blockheads.,
58734393,3/29/2018,"Shouldn't Discuss  Issues, Right? Not So Fast, Experts Say.",
590378522,3/29/2018,": ""If I couldn't have gotten 51 votes in the Senate of the United States for an outright ban picking up every one of them, Mr. and Mrs. America, turn them all in, I would have done it"" Diane Feinstein.",
595085706,3/29/2018,A pleasure to hear from former  _murthy & renowned surgeon/writer _Gawande at . Both inspire my advocacy on critical  &  issues,
602834178,3/29/2018,didnt matter until it came to suburbia. My issues with  and a call for  up at my  have a read,
60565560,3/29/2018,So there's no way to make things safer in regards to  yet somehow we figured out seatbelts and helmets?,
608485801,3/29/2018,"I agree. Empty apologies are like ""thoughts and prayers"". Enough is enough.",
635195109,3/29/2018,DISTRACTION - Useful Idiot     BS!,
67254176,3/29/2018,"""Including black students in the gun violence conversation means broadening the topic from mass shootings to police-involved shootings"" | Black Marjory Stoneman Douglas students want the movement to include their voices too",
69719340,3/29/2018,On behalf of  I would like to invite  to a  on April 7. We want to ask you about your view on,
7.02E+17,3/29/2018,This is a video that NEEDS to be given attention,
7.06E+17,3/29/2018,That's the way to go in . And there's no need to repeal the .,
72953001,3/29/2018,These attacks seem so focused and planned. Who is responsible for the talking points?,
7.38E+17,3/29/2018,"Yesterday, we shared our views on   and the . Today, we will bring you our thoughts on  inspired by iamcardib recent instagram video on where her tax money goes.",
7.52E+17,3/29/2018,This was made to honor all victims of mass shootings.,
7.66E+17,3/29/2018,How are  and  activism connected? Learn more and  by contacting your rep about  at .,
7.77E+17,3/29/2018,This is crazy,
78663449,3/29/2018,U rly think the entire civilized world's run by fascists & all the people r enslaved bc they hav ? Weirdo,
7.88E+17,3/29/2018,About stumping the bearded one...,
7.96E+17,3/29/2018,Great - but when will the  address this  disaster?:,
7.98E+17,3/29/2018,Democrats are scared to death of this man because he's smart & real & not on their plantation..,
8.06E+17,3/29/2018,will real Americans listen to kids who eat  talk about  Stay in school kiddos you still have a lot to learn especially you  since you can't get into college and that Communist bald boy  who admitted to being a bully.,
8.20E+17,3/29/2018,Read much of the classification of weapons. This bill is horrendous!!,
8.20E+17,3/29/2018,Socialist/Communist Hoggwash Movement disguised as  continues their  narrative...,
8.21E+17,3/29/2018,1) it would cost you money 2) it would cost you money 3) it would cost you money,
8.26E+17,3/29/2018,received YUGE amounts of  to ensure that he doesn't enact responsible  legislation. Bought in this way by the  he can never adequately protect our children.,
8.37E+17,3/29/2018,8:30 am they might work gun bills. They also might not. We will find out then and let you know,
845738432,3/29/2018,Of course. These  Nazis want to completely unarm law abiding citizens.,
8.63E+17,3/29/2018,Proper  is hitting your target with only one round.,
8.66E+17,3/29/2018,Hogg represents everything wrong with current political environment. Spreads venom with bumper sticker knowledge and morally condemns anyone who doesn't agree with him. Put the away the dagger and read a book.,
8.68E+17,3/29/2018,Do you know what the  actually means?,
8.72E+17,3/29/2018,"BREAKING NEWS:  is starting a new band: ""Soy Boys"". Their first single  will be premiered via",
9.00E+17,3/29/2018,It would be horrible if this was the Tweet heard round the world! No one else's guards/guns are killing children. And your guards certainly have semi auto weapons.,
9.01E+17,3/29/2018,"      "", ""      He needs to learn facts, not conspiracies. We should all stand up to these poor unfactual  arguments by individuals like Hogg."", ""    He needs to learn the facts first before arguing bc  will not significantly change the outcomes on homicide by legal guns.""
)",
9.02E+17,3/29/2018,"What the hell's the matter you libtards. You equate a stupid kid, who was plunged into the spotlight under a circumstance that he WASN'T EVEN THERE, AND CRIES FOR  TO  (no wonder your numbers SUCK)",
9.07E+17,3/29/2018,No Play In This Ride by Black Out on Apple Podcasts,
9.12E+17,3/29/2018,A dive into my own thoughts on  and why it is ludicrous. A thread:,
9.15E+17,3/29/2018,"Shut the fuck up, you have no idea what your talking about. This is your new  for  . you said the very same thing with a real   , HES GOING TO TAKE ALLLLL OF OUR  LMFAO. ALL we want is comon sense  why is that hard 4you",
9.18E+17,3/29/2018,"Just booked a trip, but not with  because they advertise with bullies.  "", ""Action alert. Drop your sponsorship or I'll drop you.   "")",
9.36E+17,3/29/2018,This is so applicable to the  issue.  for,
9.50E+17,3/29/2018,from the  Thomas Jefferson How is modern  different from Jefferson's? What 18th century ideas deserve to be revisited?,
953085222,3/29/2018,"If it's not concise, that allows for two scenarios: either the law is compromised by loopholes, or it's implementation is too wide--leading to a total ban, i.e. the thing that  advocates say won't happen.",
9.55E+17,3/29/2018," is NOT interested in   =  deception"", ""_chart_life  &lt;-- Why is this such a difficult concept for people to grasp?  is a  issue."")",
9.58E+17,3/29/2018,Any Questions? Look at who  is in bed with...,
9.65E+17,3/29/2018,March For Our Lives / Manhattan / Sony A7 RII / Jupiter 3+ +,
9.69E+17,3/29/2018,Does this moronic simpleton of a police chief really think that a teacher with a handgun is going to stop a psychopath with an AR-15? Gimme a break.,
9.70E+17,3/29/2018,How can you? Change starts with us! -           weneedchange,
